Pipeline,Compound,MOLECULE,SMILES,Fingerprint similarity of the most similar DEL PTE to the given compound,Average fingerprint similarity of the top 10 most similar DEL PTEs to the given compound,HPLC-UV (at 280 nM),KD_microM,KD_2_microM,% Rmax,% Rmax_2,SPR sensorgram,DSF_delta_Tm_?C,Comment,Stereochemistry,Catalog_Number,ChemiReg_ID
Primary predictions,1,C1CN(CC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CN(CC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.46,0.41,>95% ,6,6,91,98,,did not stabilize,co-crystallized,racemate,Z4305885019,MR45279
confirming that chiral center of 1 is not needed,(R)-1,O[C@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,O[C@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,NA,NA,>95%,6,6,61,75,,not tested,"R enantiomer of compound 1. SPR run using Biacore 8K, Multi-cycle kinetics",R-enantiomer of 1,Z8515385889 ,DR03112
confirming that chiral center of 1 is not needed,(S)-1,O[C@@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,O[C@@H]1CN(C2=CC=C(C(NC3(C4=CC=C(Cl)C=C4)COC3)=O)C=C2)CC1,NA,NA,>95%,6,6,65,66,,not tested,"S enantiomer of compound 1. SPR run using Biacore 8K, Multi-cycle kinetics",S-enantiomer of 1,Z8515385379 ,DR03111
SAR-by-ML,2,C1CN(CCC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CN(CCC1O)c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.47,0.42,>95%,6,6,103,101,,not tested,,,Z4183610153,DR01977
SAR-by-ML,3,CN1CCc2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2C1,CN1CCc2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2C1,0.44,0.39,,8,8,99,98,,not tested,,,Z7151300559,DR01978
SAR-by-ML,4,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(c2cc[nH]n2)s1)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(c2cc[nH]n2)s1)=O,0.56,0.41,>95%,8,8,104,102,,not tested,,,Z7151300573,DR01939
SAR-by-ML,5,Cc1cn2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2n1,Cc1cn2cc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)sc2n1,0.5,0.44,,11,11,87,87,,not tested,,,Z7151300551,DR01940
SAR-by-ML,6,C1CC(N(C1)Cc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,C1CC(N(C1)Cc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,0.45,0.41,,11,11,75,75,,not tested,,,Z4183609516,DR01954
SAR-by-ML,7,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(c1)nns2)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(c1)nns2)=O,0.48,0.46,,14,14,93,91,,not tested,,,Z7151300543,DR01944
SAR-by-ML,8,C(CO)C(c1ccc(cc1)[Cl])NC(c1ccc(cc1)N1CCC(C1)O)=O,C(CO)C(c1ccc(cc1)[Cl])NC(c1ccc(cc1)N1CCC(C1)O)=O,0.51,0.46,,14,14,98,96,,not tested,,racemate,Z4303836594,DR01961
SAR-by-ML,9,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,0.52,0.45,,15,15,66,65,,not tested,,,Z4183612305,DR01949
SAR-by-ML,10,C1CC(CN(C1)c1ccc(cc1)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)C(N)=O,C1CC(CN(C1)c1ccc(cc1)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)C(N)=O,0.46,0.41,,16,16,79,78,,not tested,,racemate,Z804133980,DR01957
SAR-by-ML,11,CC(NCc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,CC(NCc1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,0.48,0.43,,20,20,68,66,,not tested,,,Z4154517603,DR01942
SAR-by-ML,12,C1CC(CN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)C(N)=O,C1CC(CN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)C(N)=O,0.48,0.43,,22,22,82,81,,not tested,,racemate,Z2140947981,DR01997
SAR-by-ML,13,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(N)ncnc2c1)=O,C1C(CO1)(c1ccc(cc1)[Cl])NC(c1ccc2c(N)ncnc2c1)=O,0.43,0.42,,37,37,90,88,,not tested,,,Z7151300550,DR01943
SAR-by-ML,14,C1CN(CC1O)c1ccc(cc1)C(N1CC(C1)(c1ccc(cc1)[Cl])O)=O,C1CN(CC1O)c1ccc(cc1)C(N1CC(C1)(c1ccc(cc1)[Cl])O)=O,0.31,0.28,,42,41,85,81,,not tested,,racemate,Z4304261471,DR01974
SAR-by-ML,15,C1C(Nc2cccc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)c12)=O,C1C(Nc2cccc(C(NC3(COC3)c3ccc(cc3)[Cl])=O)c12)=O,0.39,0.37,,97,98,91,90,,not tested,,,Z7151300560,DR01947
Primary predictions,16,C1CC(N(C1)Cc1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)=O,C1CC(N(C1)Cc1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O)=O,0.47,0.44,,99,97,68,73,,not tested,,racemate,Z2200611484,MR45272
SBDD; SAR-by-catalog,17,C=CC(Nc1ccc(CC(NC2(COC2)c2ccccc2)=O)cc1)=O,C=CC(Nc1ccc(CC(NC2(COC2)c2ccccc2)=O)cc1)=O,0.31,0.3,,0,0,0,0,,did not stabilize,"Covalent analog. No MS adduct formed. No significant binding by SPR. SPR run using Biacore 8K, Multi-cycle kinetics",,Z4899562699,MR46653
SBDD; SAR-by-catalog,18,C=CC(N1CCCc2c(cccc12)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,C=CC(N1CCCc2c(cccc12)C(NC1(COC1)c1ccc(cc1)[Cl])=O)=O,0.35,0.34,>95%,36,38,72,71,,4,Covalent analog. MS confirms adduct; co-crystallized; predicted but not purchased. SPR run using multi-cycle kinetics,,Z4899441432,MR46654
SBDD; SAR-by-catalog,19,C=CC(N1CCCc2c(cccc12)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)=O,C=CC(N1CCCc2c(cccc12)C(NC(C1CC1)c1ccc(cc1)[Cl])=O)=O,0.38,0.36,>95%,43,41,76,57,,4,Covalent analog. MS confirms adduct forms. SPR run using multi-cycle kinetics,racemate,Z5002582467,DR02365
SBDD; SAR-by-catalog,20,C=CC(N1CCCc2c(cccc12)C(NC(C1CCCCC1)c1ccc(cc1)F)=O)=O,C=CC(N1CCCc2c(cccc12)C(NC(C1CCCCC1)c1ccc(cc1)F)=O)=O,0.29,0.26,,0,0,0,0,,did not stabilize,"Covalent analog. No MS adduct formed. No significant binding by SPR. SPR run using Biacore 8K, Multi-cycle kinetics",racemate,Z5002582729,DR02366
SAR-by-ML,21,C1CN(CC1O)c1ccc(cc1)C(NCc1cc(cc2COCOc12)F)=O,C1CN(CC1O)c1ccc(cc1)C(NCc1cc(cc2COCOc12)F)=O,0.57,0.5,,4,5,45,45,,not tested,"Comparatively low binding, solubility issue at higher compound concentration in SPR buffer",racemate,Z4302640305,DR01999
SAR-by-ML,22,C1CN(CC1O)c1ccc(cc1)C(NC(c1ccccc1)c1ccco1)=O,C1CN(CC1O)c1ccc(cc1)C(NC(c1ccccc1)c1ccco1)=O,0.51,0.44,,5,4,34,33,,not tested,low binding,racemate,Z7151300570,DR01969
SAR-by-ML,23,C1Cc2ccc(cc2C1NC(c1ccc(cc1)N1CCC(C1)O)=O)[Cl],C1Cc2ccc(cc2C1NC(c1ccc(cc1)N1CCC(C1)O)=O)[Cl],0.55,0.48,,5,5,17,16,,not tested,low binding,racemate,Z7151300565,DR02004
SAR-by-ML,24,C1CCN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O,C1CCN(C1)c1ccc(cc1)C(NC(CCO)c1ccc(cc1)[Cl])=O,0.68,0.55,,7,7,47,46,,not tested,"Comparatively low binding, solubility issue at higher compound concentration in SPR buffer",racemate,Z7151300542,DR01941
SAR-by-ML,25,C1CC1c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,C1CC1c1ccc(cc1)C(NC1(COC1)c1ccc(cc1)[Cl])=O,0.49,0.43,,7,7,50,49,,not tested,Comparatively low binding,,Z7151300575,DR01972
SAR-by-ML,26,C1CN(CC1O)c1ccc(cc1)C(NCc1ccc2c(c1)nsn2)=O,C1CN(CC1O)c1ccc(cc1)C(NCc1ccc2c(c1)nsn2)=O,0.52,0.42,,12,10,49,51,,not tested,Solubility issue at higher compound concentration in SPR buffer,racemate,Z4304732836,DR02011
Primary predictions,27,C(c1ccc2c(c1)OCO2)NC(c1ccc2c(c1)nns2)=O,C(c1ccc2c(c1)OCO2)NC(c1ccc2c(c1)nns2)=O,0.6,0.54,,17,17,54,58,,not tested,Comparatively low binding. Solubility issue at higher compound concentration in SPR buffer,,7092495,MR44780
SAR-by-ML,28,CCC(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,CCC(c1ccc(cc1)[Cl])NC(c1ccc(cc1)C1(COC1)O)=O,0.5,0.44,,35,35,52,52,,not tested,Comparatively low binding,racemate,Z3340126714,DR01946
Primary predictions,29,CC(c1cccc(c1)[Cl])NC(c1ccc2c(c1)NC(CO2)=O)=O,CC(c1cccc(c1)[Cl])NC(c1ccc2c(c1)NC(CO2)=O)=O,0.44,0.41,,36,38,32,33,,not tested,Comparatively low binding,racemate,Z73340212,MR44791
